year,population,glob,n_hem,x24n_90n,qnt_death_heat_cold_exposure,qnt_death_lower_respiratory_infections,qnt_death_exposure_to_forces_of_nature,qnt_death_chronic_respiratory_diseases,temp_rcp_45,CO2EQ,KYOTO-CO2EQ,CO2,CH4,N2O,FGASSUMHFC134AEQ,MHALOSUMCFC12EQ,CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL
1980,78288576,0.26,0.17,0.06,NA,NA,NA,NA,NA,330.86448,371.94514,338.36,1547.75,301.3825,24.687851,519.30314,59.6,1.2232593,0,3.7127815,0,0,0.02774,0,0.2,0,0,0.835,159.4,287.35,18.805,10.114,1.401,92.625,78.725,38.64,0,0.2505,0.3895,0.0095,0.21,0.0975,8.241,536.25
1981,78407907,0.32,0.37,0.48,NA,NA,NA,NA,NA,332.22762,374.18965,339.7275,1566.75,302.22,26.102,550.90419,60.45,1.2751169,0,4.0517034,0,0,0.0292,0,0.225,0,0,0.95,168.55,304.25,21.475,10.575,1.6605,93.95,85.94,42.44,0,0.273,0.4795,0.011,0.275,0.113,8.306,536.55
1982,78333366,0.14,0.06,-0.08,NA,NA,NA,NA,NA,333.03368,376.1287,340.7925,1586.25,303.0975,27.594969,583.13514,61.3,1.3296347,0,4.4091398,0,0,0.03045,0,0.275,0,0,1.075,177.85,321.7,24.45,11.045,1.9495,94.9,92.165,46.17,0,0.313,0.582,0.0125,0.351,0.1295,8.373,536.8
1983,78128282,0.31,0.25,0.22,NA,NA,NA,NA,NA,334.24432,378.41036,342.1975,1605.845,303.805,29.128592,613.19573,62.15,1.3869019,0,4.7850906,0,0,0.0331,0,0.3,0,0,1.21,185.8,338.15,27.605,11.505,2.2655,95.855,96.325,50,0,0.361,0.6975,0.014,0.4425,0.1475,8.442,537
1984,77858685,0.16,0.04,0.02,NA,NA,NA,NA,NA,336.14519,380.82028,343.7825,1623.705,304.3975,30.721458,644.36017,63,1.447008,0,5.179556,0,0,0.03585,0,0.325,0,0,1.355,193.75,355,30.985,11.965,2.6105,97.27,100.75,54.17,0,0.404,0.828,0.016,0.5495,0.1665,8.513,537.2
1985,77684873,0.12,0,-0.03,NA,NA,NA,NA,NA,338.19811,383.06293,345.2825,1637.9925,305.0875,32.344152,678.37908,63.8,1.5100424,0,5.5925359,0,0,0.03705,0,0.375,0,0,1.505,202.85,372.5,35.43,12.44,2.981,98.845,105.7,58.465,0,0.4555,0.9775,0.018,0.6715,0.186,8.5865,537.35
1986,77720436,0.18,0.13,0.11,NA,NA,NA,NA,8.726441138525008,340.22271,385.27364,346.7975,1650.435,305.7725,34.01628,712.08383,64.6,1.5760945,0,6.0240302,0,0,0.03415,0,0.4,0,0,1.67,212.1,389.8,39.95,12.94,3.363,99.855,109.6,62.85,0,0.4995,1.152,0.0195,0.8125,0.207,8.6625,537.45
1987,77839920,0.32,0.25,0.04,NA,NA,NA,NA,8.74904553671552,342.40873,387.79467,348.645,1662.2,306.2625,35.813993,748.37448,65.45,1.6452537,0,6.4740391,0,0,0.03285,0,0.425,0,0,1.855,222.8,408.65,44.285,13.47,3.7535,101.1,112.15,67.415,0,0.6075,1.3545,0.021,0.974,0.229,8.7405,537.55
1988,78144619,0.39,0.37,0.4,NA,NA,NA,NA,8.760189642476947,345.08452,390.67325,350.7375,1673.07,307.195,37.689358,789.24945,66.3,1.7176095,0,6.9425624,0,0,0.0384,0,0.5,0,0,2.04,234.9,428.45,50.53,14.01,4.1635,102.45,116.3,72.44,0,0.791,1.591,0.023,1.1555,0.251,8.8205,537.65
1989,78751283,0.27,0.27,0.4,NA,NA,NA,NA,8.778143244875707,347.72931,393.25214,352.4875,1683.47,308.5075,39.564536,830.20042,67.1,1.7932511,0,7.4296003,0,0,0.04655,0,0.575,0,0,2.225,244.9,448.25,57.92,14.55,4.5995,103.45,121.7,78.21,0,0.99,1.869,0.0245,1.3565,0.2755,8.903,537.75
1990,79433029,0.45,0.53,0.63,324175,18798537,257062,18430814,8.808853836486074,349.91054,395.32369,353.855,1693.63,309.485,41.525623,866.5642,67.9,1.872268,0,7.9351526,0,0,0.0547,0.03,0.625,0,0,2.425,252.75,466.15,64.485,15.075,5.0635,104.45,124.45,84.305,0,1.249,2.1645,0.026,1.562,0.3015,8.988,537.8
1991,80013896,0.4,0.41,0.47,332814,18595919,789809,18764820,8.84492902536134,351.18907,397.08769,355.0175,1703.8175,310.1125,43.579155,899.39748,68.7,1.9563157,0,8.4592194,0,0,0.0627,0.09,0.675,0,0,2.635,260.15,481.3,70.3,15.555,5.545,105.6,127.9,90.44,0,1.696,2.4485,0.028,1.753,0.326,9.0755,537.85
1992,80624598,0.22,0.14,0.09,352194,18454252,67936,19115256,8.900335831717719,351.54763,398.429,355.885,1711.8,310.6025,45.721427,927.68073,69.5,2.05,0,9.0018008,0,0,0.0705,0.185,0.725,8.1240502e-5,0,2.85,264.95,494.4,75.96,15.99,6.0235,105.75,130.9,96.715,0,2.424,2.7125,0.0295,1.9125,0.35,9.1655,537.9
1993,81156363,0.23,0.19,0.13,393281,18277613,122408,19467245,8.93506664021921,352.27475,399.6985,356.7775,1716.29,311.0775,48.03116,948.79967,70.3,2.15,0,9.5628966,0,0,0.08075,0.375,0.8,2.413896e-4,0,3.07,267.75,504.8,80.235,16.355,6.4945,104.9,130.5,102.14,0,3.3945,2.9185,0.031,2.0215,0.3725,9.258,537.9
1994,81438348,0.32,0.37,0.43,425408,18044634,70991,19645020,8.959633543392593,353.73698,401.50455,358.1275,1721.0125,311.6025,50.632591,963.90278,71.1,2.25,0,10.142507,0,0,0.09555,0.75,0.925,0.0035065468,0,3.3,269.5,513.1,82.345,16.63,6.957,104.35,126,106.6,0.5695,4.487,3.09,0.0335,2.114,0.393,9.353,537.95
1995,81678051,0.45,0.58,0.7,427027,17825650,114124,19740465,9.010756612364103,355.93868,403.78227,359.8375,1726.35,312.295,53.85044,973.65195,71.9,2.35,0,10.740632,0,0,0.1503,1.645,1.125,0.0097357876,0,3.515,269.5,519.55,83.46,16.83,7.3995,103.55,115.9,110.45,1.9145,5.658,3.247,0.037,2.2455,0.4125,9.45,538
1996,81914831,0.33,0.26,0.23,396209,17496174,85341,19918467,9.03015040544365,358.2628,405.94462,361.4625,1730.01,313.0475,57.972787,982.03009,72.65,2.45,0,11.458527,0,0,0.27175,3.155,1.45,0.014320038,0,3.725,268.95,525.05,83.84,16.965,7.7905,102.8,104.09,115.85,3.587,6.818,3.3915,0.0415,2.3885,0.4265,9.2995,538
1997,82034771,0.46,0.52,0.53,374084,17250133,95762,20160568,9.063670934291398,359.83008,408.21981,363.155,1734.8175,313.76,62.918647,988.49788,73.4,2.55,0,12.286936,0,0,0.43105,5.17,1.85,0.023170407,0,3.955,268.2,529.15,83.68,17.045,8.1025,101.95,91.215,121.95,5.523,7.939,3.556,0.0465,2.4875,0.43,9.08,538
1998,82047195,0.61,0.71,0.78,380851,16976993,256608,20286180,9.089902056295449,361.47123,411.14445,365.3225,1742.71,314.5325,68.413557,992.18189,74.2,2.65,0,13.115344,0,0,0.64745,7.71,2.25,0.037077875,0,4.155,266.95,532.4,83.45,17.075,8.3425,100.9,77.815,126.35,7.377,8.946,3.7085,0.0515,2.5565,0.4265,9.155,538
1999,82100243,0.38,0.48,0.7,371984,16691511,400177,20401834,9.111545659755397,363.28251,413.86788,367.3475,1749.2425,315.2575,74.406113,995.41456,75,2.75,0,13.943753,0.0045172951,0,0.95615000000000006,10.68,2.65,0.059052742,0,4.33,265.2,534.95,83.015,17.075,8.5275,100.155,65.605,131.7,9.206,9.938,3.8355,0.0535,2.6205,0.422,9.26,538
2000,82211508,0.39,0.5,0.7,383896,16361950,49769,20581036,9.140846617870864,364.36712,415.85781,368.865,1751.0225,315.85,80.939872,998.62742,75.75,2.85,0,14.772161,0.048848182,0,1.32805,13.965,3.05,0.096707891,0,4.54,263.45,537.05,82.515,17.055,8.6705,99.37,54.83,137.4,11.075,11.04,3.953,0.051,2.679,0.417,9.0845,538
2001,82349925,0.53,0.64,0.8,391505,15973481,171144,20679346,9.159503025362378,365.65347,417.90992,370.4675,1750.7075,316.4875,88.630429,1001.0336,76.5,2.949997,0.0039896615,15.60057,0.28734871,0,1.7224,17.51,3.4375829,0.15091475,0.37329372,4.765,261.9,538.85,82.07,17.02,8.782,98.4,45.785,141.95,12.695,12.035,4.0455,0.046,2.733,0.41,8.689,538
2002,82488495,0.63,0.71,0.82,410231,15732313,49648,20829474,9.202696501203391,367.97846,420.57294,372.5225,1752.1875,317.245,97.470674,1003.2141,77.25,3.0512444,0.011991034,16.428979000000002,0.72020758,0.0074054448,2.13305,21.365,3.8533327,0.208567,1.1109129,4.985,260.1,539.95,81.595,16.98,8.869,97.385,38.14,147.45,14.18,12.975,4.112,0.04,2.7825,0.402,8.349,538
2003,82534176,0.62,0.75,0.84,423566,15491526,181717,20841542,9.236450617368048,370.51984,423.48801,374.76,1754.76,318.0175,106.77479,1004.0035,77.991523,3.1549435,0.019501552,17.257387,1.2174529,0.029165732,2.60335,25.44,4.3489186,0.27415491,1.8316883,5.215,257.95,540.05,80.93,16.94,8.936,96.325,31.78,152.95,15.565,13.755,4.1695,0.0345,2.828,0.3935,8.194,538
2004,82516260,0.53,0.66,0.72,393644,15203469,1399238,20661943,9.249842251185465,372.78524,426.11615,376.8125,1755.065,318.71,116.5837,1003.9272,78.771953,3.2609927,0.026395399,18.085796,1.7671012,0.064400899,3.12045,29.775,4.9220645,0.36709348,2.5376655,5.445,256.05,539.9,80.12,16.9,8.988,95.385,26.475,157.45,16.605,14.35,4.207,0.0295,2.87,0.384,8.0885,538
2005,82469422,0.67,0.86,1.01,400981,15107177,458696,20763981,9.281829487415,375.19996,428.65338,378.8125,1753.735,319.44,126.7694,1003.5801,79.547081,3.3693009,0.033290543,18.912923,2.35921,0.11228389,3.6261786,34.36,5.5709557,0.48770346999999997,3.2304797,5.675,254.1,539.4,79.31,16.855,9.0285,94.435,22.075,162.25,17.195,14.94,4.2265,0.0255,2.908,0.3735,7.933,538
