GENESIS-Tabelle: 12613-0004
Deaths: Germany, years, nationality, sex, age years;;;;;;;;;;
Death statistics;;;;;;;;;;
Germany;;;;;;;;;;
Deaths (number);;;;;;;;;;
;;Male;Male;Male;Female;Female;Female;Total;Total;Total
;;Germans;Foreigners;Total;Germans;Foreigners;Total;Germans;Foreigners;Total
2017;8 years;23;5;28;15;6;21;38;11;49
2017;9 years;20;4;24;16;2;18;36;6;42
2017;10 years;19;4;23;17;1;18;36;5;41
2017;11 years;23;5;28;19;6;25;42;11;53
2017;12 years;21;1;22;26;4;30;47;5;52
2017;13 years;26;6;32;39;2;41;65;8;73
2017;14 years;46;7;53;27;3;30;73;10;83
2017;15 years;49;8;57;41;3;44;90;11;101
2017;16 years;87;5;92;54;7;61;141;12;153
2017;17 years;103;9;112;37;5;42;140;14;154
2017;18 years;131;23;154;70;8;78;201;31;232
2017;19 years;168;26;194;57;13;70;225;39;264
2017;20 years;169;36;205;78;14;92;247;50;297
2017;21 years;155;32;187;68;11;79;223;43;266
2017;22 years;150;40;190;56;14;70;206;54;260
2017;23 years;150;40;190;69;10;79;219;50;269
2017;24 years;195;40;235;76;14;90;271;54;325
2017;25 years;179;39;218;71;11;82;250;50;300
2017;26 years;208;37;245;80;17;97;288;54;342
2017;27 years;195;40;235;91;21;112;286;61;347
2017;28 years;228;51;279;105;15;120;333;66;399
2017;29 years;241;60;301;124;21;145;365;81;446
2017;30 years;271;51;322;146;21;167;417;72;489
2017;31 years;303;47;350;133;26;159;436;73;509
2017;32 years;297;43;340;133;22;155;430;65;495
2017;33 years;352;65;417;153;23;176;505;88;593
2017;34 years;347;55;402;189;36;225;536;91;627
2017;35 years;361;56;417;192;28;220;553;84;637
2017;36 years;409;67;476;182;31;213;591;98;689
2017;37 years;463;78;541;202;39;241;665;117;782
2017;38 years;457;78;535;243;41;284;700;119;819
2017;39 years;444;81;525;243;57;300;687;138;825
2017;40 years;475;91;566;274;50;324;749;141;890
2017;41 years;506;102;608;274;43;317;780;145;925
2017;42 years;543;100;643;290;60;350;833;160;993
2017;43 years;635;97;732;369;52;421;1004;149;1153
2017;44 years;741;137;878;420;55;475;1161;192;1353
2017;45 years;932;139;1071;534;92;626;1466;231;1697
2017;46 years;1158;133;1291;645;80;725;1803;213;2016
2017;47 years;1293;145;1438;712;78;790;2005;223;2228
2017;48 years;1582;161;1743;895;85;980;2477;246;2723
2017;49 years;1772;160;1932;1068;88;1156;2840;248;3088
2017;50 years;2069;183;2252;1131;78;1209;3200;261;3461
2017;51 years;2393;187;2580;1366;92;1458;3759;279;4038
2017;52 years;2690;215;2905;1510;103;1613;4200;318;4518
2017;53 years;3065;231;3296;1712;107;1819;4777;338;5115
2017;54 years;3488;227;3715;1932;103;2035;5420;330;5750
2017;55 years;3695;232;3927;2007;108;2115;5702;340;6042
2017;56 years;4093;236;4329;2245;122;2367;6338;358;6696
2017;57 years;4302;232;4534;2372;122;2494;6674;354;7028
2017;58 years;4633;253;4886;2454;147;2601;7087;400;7487
2017;59 years;4870;256;5126;2569;125;2694;7439;381;7820
2017;60 years;5107;289;5396;2853;143;2996;7960;432;8392
2017;61 years;5628;296;5924;3098;169;3267;8726;465;9191
2017;62 years;5884;276;6160;3117;181;3298;9001;457;9458
2017;63 years;6127;298;6425;3393;193;3586;9520;491;10011
2017;64 years;6536;303;6839;3621;179;3800;10157;482;10639
2017;65 years;7041;332;7373;3834;233;4067;10875;565;11440
2017;66 years;7325;373;7698;4170;221;4391;11495;594;12089
2017;67 years;7788;409;8197;4393;279;4672;12181;688;12869
2017;68 years;7953;488;8441;4633;312;4945;12586;800;13386
2017;69 years;7589;537;8126;4554;266;4820;12143;803;12946
2017;70 years;7635;564;8199;4883;290;5173;12518;854;13372
2017;71 years;6510;506;7016;4209;287;4496;10719;793;11512
2017;72 years;8170;525;8695;5399;305;5704;13569;830;14399
2017;73 years;10316;572;10888;6851;288;7139;17167;860;18027
2017;74 years;10380;570;10950;7028;300;7328;17408;870;18278
2017;75 years;12628;589;13217;8663;307;8970;21291;896;22187
2017;76 years;14761;589;15350;10381;309;10690;25142;898;26040
2017;77 years;16504;667;17171;12070;354;12424;28574;1021;29595
2017;78 years;16668;612;17280;12871;330;13201;29539;942;30481
2017;79 years;16432;646;17078;13503;348;13851;29935;994;30929
2017;80 years;16894;556;17450;14794;291;15085;31688;847;32535
2017;81 years;17269;502;17771;16118;339;16457;33387;841;34228
2017;82 years;17701;452;18153;17494;320;17814;35195;772;35967
2017;83 years;15248;435;15683;15955;315;16270;31203;750;31953
2017;84 years;14183;381;14564;15818;277;16095;30001;658;30659
2017;85 years;14779;335;15114;17861;295;18156;32640;630;33270
2017;86 years;15038;273;15311;19439;301;19740;34477;574;35051
2017;87 years;14811;245;15056;20723;262;20985;35534;507;36041
2017;88 years;14176;250;14426;21267;255;21522;35443;505;35948
2017;89 years;12558;209;12767;20638;229;20867;33196;438;33634
2017;90 years;10721;165;10886;20624;238;20862;31345;403;31748
2017;91 years;8859;149;9008;20205;189;20394;29064;338;29402
2017;92 years;7353;107;7460;18547;218;18765;25900;325;26225
2017;93 years;5376;66;5442;16118;173;16291;21494;239;21733
2017;94 years;4424;64;4488;14112;147;14259;18536;211;18747
2017;95 years;3508;56;3564;12408;114;12522;15916;170;16086
2017;96 years;2686;35;2721;10020;80;10100;12706;115;12821
2017;97 years;1828;27;1855;7514;58;7572;9342;85;9427
2017;98 years;715;14;729;3183;31;3214;3898;45;3943
2017;99 years;412;7;419;1952;22;1974;2364;29;2393
2017;100 years and over;833;13;846;5104;47;5151;5937;60;5997
2017;age unknown;-;-;-;-;-;-;-;-;-
2017;Total;439049;18707;457756;462465;12042;474507;901514;30749;932272
2018;under 1 year;1184;215;1399;953;153;1106;2137;368;2505
2018;1 year;88;19;107;87;21;108;175;40;215
2018;2 years;47;10;57;49;5;54;96;15;111
2018;3 years;40;11;51;35;4;39;75;15;90
2018;4 years;40;5;45;28;5;33;68;10;78
2018;5 years;21;12;33;19;6;25;40;18;58
2018;6 years;28;4;32;21;10;31;49;14;63
2018;7 years;32;6;38;9;4;13;41;10;51
2018;8 years;23;7;30;25;3;28;48;10;58
2018;9 years;32;6;38;16;6;22;48;12;60
2018;10 years;27;8;35;19;3;22;46;11;57
2018;11 years;.;.;27;.;.;30;.;.;57
2018;12 years;28;6;34;21;6;27;49;12;61
2018;13 years;.;.;36;.;.;26;.;.;62
2018;14 years;47;8;55;29;3;32;76;11;87
2018;15 years;64;11;75;37;8;45;101;19;120
2018;16 years;94;7;101;55;3;58;149;10;159
2018;17 years;95;16;111;50;7;57;145;23;168
2018;18 years;152;26;178;63;14;77;215;40;255
2018;19 years;147;27;174;61;6;67;208;33;241
2018;20 years;154;45;199;60;12;72;214;57;271
2018;21 years;177;33;210;59;13;72;236;46;282
2018;22 years;174;42;216;48;13;61;222;55;277
2018;23 years;156;41;197;63;14;77;219;55;274
2018;24 years;195;37;232;71;16;87;266;53;319
2018;25 years;168;54;222;77;22;99;245;76;321
2018;26 years;193;49;242;71;11;82;264;60;324
2018;27 years;217;39;256;86;21;107;303;60;363
2018;28 years;232;46;278;108;18;126;340;64;404
2018;29 years;235;48;283;116;25;141;351;73;424
2018;30 years;266;52;318;131;31;162;397;83;480
2018;31 years;265;45;310;152;24;176;417;69;486
2018;32 years;267;52;319;146;31;177;413;83;496
2018;33 years;335;59;394;166;31;197;501;90;591
2018;34 years;333;50;383;175;26;201;508;76;584
2018;35 years;351;51;402;192;27;219;543;78;621
2018;36 years;351;81;432;229;35;264;580;116;696
2018;37 years;438;62;500;205;37;242;643;99;742
2018;38 years;467;92;559;256;52;308;723;144;867
2018;39 years;492;92;584;274;49;323;766;141;907
2018;40 years;523;88;611;264;42;306;787;130;917
2018;41 years;596;102;698;318;50;368;914;152;1066
2018;42 years;597;112;709;324;65;389;921;177;1098
2018;43 years;608;128;736;375;74;449;983;202;1185
2018;44 years;712;121;833;379;69;448;1091;190;1281
2018;45 years;837;129;966;478;87;565;1315;216;1531
2018;46 years;1017;156;1173;565;78;643;1582;234;1816
2018;47 years;1208;168;1376;699;88;787;1907;256;2163
2018;48 years;1412;168;1580;860;83;943;2272;251;2523
2018;49 years;1742;192;1934;994;99;1093;2736;291;3027
2018;50 years;2077;180;2257;1140;97;1237;3217;277;3494
2018;51 years;2341;198;2539;1377;122;1499;3718;320;4038
2018;52 years;2662;231;2893;1462;94;1556;4124;325;4449
2018;53 years;3069;252;3321;1628;116;1744;4697;368;5065
2018;54 years;3418;244;3662;1837;109;1946;5255;353;5608
2018;55 years;3853;242;4095;2091;125;2216;5944;367;6311
2018;56 years;4093;263;4356;2270;112;2382;6363;375;6738
2018;57 years;4610;263;4873;2416;129;2545;7026;392;7418
2018;58 years;4755;282;5037;2559;144;2703;7314;426;7740
2018;59 years;5055;300;5355;2750;140;2890;7805;440;8245
2018;60 years;5412;307;5719;2887;136;3023;8299;443;8742
2018;61 years;5677;315;5992;3090;155;3245;8767;470;9237
2018;62 years;6111;329;6440;3271;169;3440;9382;498;9880
2018;63 years;6410;319;6729;3537;206;3743;9947;525;10472
2018;64 years;6795;303;7098;3923;232;4155;10718;535;11253
2018;65 years;7029;364;7393;3963;226;4189;10992;590;11582
2018;66 years;7629;376;8005;4344;275;4619;11973;651;12624
2018;67 years;8001;381;8382;4544;259;4803;12545;640;13185
2018;68 years;8300;460;8760;4904;315;5219;13204;775;13979
2018;69 years;8352;496;8848;5144;298;5442;13496;794;14290
2018;70 years;8052;540;8592;5025;309;5334;13077;849;13926
2018;71 years;8350;563;8913;5167;299;5466;13517;862;14379
2018;72 years;6960;503;7463;4538;321;4859;11498;824;12322
2018;73 years;8659;561;9220;5958;312;6270;14617;873;15490
2018;74 years;11046;521;11567;7439;314;7753;18485;835;19320
2018;75 years;11224;555;11779;7888;291;8179;19112;846;19958
2018;76 years;13467;630;14097;9727;324;10051;23194;954;24148
2018;77 years;15398;645;16043;11387;341;11728;26785;986;27771
2018;78 years;17450;669;18119;13626;382;14008;31076;1051;32127
2018;79 years;17857;618;18475;14447;374;14821;32304;992;33296
2018;80 years;17581;571;18152;14869;343;15212;32450;914;33364
2018;81 years;17794;624;18418;16100;363;16463;33894;987;34881
2018;82 years;18123;489;18612;17672;351;18023;35795;840;36635
2018;83 years;18061;502;18563;18839;340;19179;36900;842;37742
2018;84 years;15826;454;16280;17472;314;17786;33298;768;34066
2018;85 years;14282;369;14651;16986;319;17305;31268;688;31956
2018;86 years;14601;322;14923;18615;284;18899;33216;606;33822
2018;87 years;14659;290;14949;20685;306;20991;35344;596;35940
2018;88 years;14465;261;14726;21748;254;22002;36213;515;36728
2018;89 years;13528;200;13728;21631;263;21894;35159;463;35622
2018;90 years;11588;161;11749;20859;284;21143;32447;445;32892
2018;91 years;9435;134;9569;19885;220;20105;29320;354;29674
2018;92 years;8046;101;8147;18880;186;19066;26926;287;27213
2018;93 years;6151;94;6245;17016;186;17202;23167;280;23447
2018;94 years;4504;80;4584;14001;160;14161;18505;240;18745
2018;95 years;3606;49;3655;12047;109;12156;15653;158;15811
2018;96 years;2724;34;2758;10338;82;10420;13062;116;13178
2018;97 years;1959;27;1986;7946;74;8020;9905;101;10006
2018;98 years;1281;14;1295;5592;49;5641;6873;63;6936
2018;99 years;.;.;465;.;.;2319;2758;26;2784
2018;100 years and over;738;9;747;4648;58;4706;5386;67;5453
2018;age unknown;-;-;-;-;-;-;-;-;-
2018;Total;450490;19542;470032;472034;12808;484842;922524;32350;954874
2019;under 1 year;1182;205;1387;937;161;1098;2119;366;2485
2019;1 year;89;21;110;54;18;72;143;39;182
2019;2 years;56;9;65;40;9;49;96;18;114
2019;3 years;46;7;53;28;7;35;74;14;88
2019;4 years;33;12;45;30;8;38;63;20;83
2019;5 years;29;14;43;28;8;36;57;22;79
2019;6 years;36;4;40;21;6;27;57;10;67
2019;7 years;26;7;33;15;8;23;41;15;56
2019;8 years;.;.;25;.;.;21;38;8;46
2019;9 years;.;.;29;.;.;13;34;8;42
2019;10 years;.;.;28;.;.;19;40;7;47
2019;11 years;25;3;28;31;3;34;56;6;62
2019;12 years;.;.;37;.;.;20;46;11;57
2019;13 years;.;.;35;.;.;30;59;6;65
2019;14 years;36;8;44;31;8;39;67;16;83
2019;15 years;54;6;60;35;8;43;89;14;103
2019;16 years;64;16;80;39;5;44;103;21;124
2019;17 years;102;7;109;43;4;47;145;11;156
2019;18 years;160;20;180;56;6;62;216;26;242
2019;19 years;154;25;179;59;11;70;213;36;249
2019;20 years;151;41;192;59;7;66;210;48;258
2019;21 years;157;28;185;62;12;74;219;40;259
2019;22 years;158;43;201;64;23;87;222;66;288
2019;23 years;148;45;193;52;8;60;200;53;253
2019;24 years;175;44;219;61;12;73;236;56;292
2019;25 years;174;50;224;68;16;84;242;66;308
2019;26 years;169;45;214;65;13;78;234;58;292
2019;27 years;201;37;238;88;17;105;289;54;343
2019;28 years;220;58;278;98;21;119;318;79;397
2019;29 years;225;48;273;105;27;132;330;75;405
2019;30 years;232;53;285;137;22;159;369;75;444
2019;31 years;309;49;358;142;32;174;451;81;532
2019;32 years;298;71;369;152;39;191;450;110;560
2019;33 years;318;58;376;146;20;166;464;78;542
2019;34 years;302;63;365;157;35;192;459;98;557
2019;35 years;320;75;395;213;36;249;533;111;644
2019;36 years;435;61;496;222;28;250;657;89;746
2019;37 years;443;79;522;244;50;294;687;129;816
2019;38 years;436;61;497;237;48;285;673;109;782
2019;39 years;487;94;581;283;47;330;770;141;911
2019;40 years;495;104;599;272;50;322;767;154;921
2019;41 years;643;106;749;288;51;339;931;157;1088
2019;42 years;558;108;666;322;61;383;880;169;1049
2019;43 years;633;132;765;330;59;389;963;191;1154
2019;44 years;676;114;790;362;71;433;1038;185;1223
2019;45 years;745;152;897;402;72;474;1147;224;1371
2019;46 years;853;162;1015;503;83;586;1356;245;1601
2019;47 years;1173;161;1334;607;102;709;1780;263;2043
2019;48 years;1352;188;1540;728;90;818;2080;278;2358
2019;49 years;1559;209;1768;893;106;999;2452;315;2767
2019;50 years;1823;185;2008;1112;117;1229;2935;302;3237
2019;51 years;2117;235;2352;1264;102;1366;3381;337;3718
2019;52 years;2508;228;2736;1407;122;1529;3915;350;4265
2019;53 years;2835;251;3086;1608;135;1743;4443;386;4829
2019;54 years;3223;266;3489;1735;142;1877;4958;408;5366
2019;55 years;3614;267;3881;2009;125;2134;5623;392;6015
2019;56 years;3976;289;4265;2189;138;2327;6165;427;6592
2019;57 years;4391;260;4651;2382;139;2521;6773;399;7172
2019;58 years;4520;282;4802;2548;138;2686;7068;420;7488
2019;59 years;5103;315;5418;2725;142;2867;7828;457;8285
2019;60 years;5240;307;5547;2906;160;3066;8146;467;8613
2019;61 years;5543;317;5860;3049;181;3230;8592;498;9090
2019;62 years;5992;353;6345;3328;163;3491;9320;516;9836
2019;63 years;6431;370;6801;3469;204;3673;9900;574;10474
2019;64 years;6750;349;7099;3646;208;3854;10396;557;10953
2019;65 years;7011;330;7341;3985;194;4179;10996;524;11520
2019;66 years;7526;383;7909;4264;221;4485;11790;604;12394
2019;67 years;7927;401;8328;4575;242;4817;12502;643;13145
2019;68 years;8368;420;8788;4641;284;4925;13009;704;13713
2019;69 years;8664;500;9164;5225;343;5568;13889;843;14732
2019;70 years;8746;567;9313;5349;350;5699;14095;917;15012
2019;71 years;8445;560;9005;5292;357;5649;13737;917;14654
2019;72 years;8470;632;9102;5505;361;5866;13975;993;14968
2019;73 years;7091;569;7660;4853;335;5188;11944;904;12848
2019;74 years;9136;554;9690;6374;344;6718;15510;898;16408
2019;75 years;11267;576;11843;7996;354;8350;19263;930;20193
2019;76 years;11602;587;12189;8216;308;8524;19818;895;20713
2019;77 years;13871;671;14542;10222;353;10575;24093;1024;25117
2019;78 years;16093;636;16729;12245;374;12619;28338;1010;29348
2019;79 years;18011;710;18721;14576;397;14973;32587;1107;33694
2019;80 years;18053;621;18674;15465;387;15852;33518;1008;34526
2019;81 years;17903;576;18479;15972;390;16362;33875;966;34841
2019;82 years;17784;595;18379;17126;388;17514;34910;983;35893
2019;83 years;17966;565;18531;18510;370;18880;36476;935;37411
2019;84 years;18247;458;18705;19732;331;20063;37979;789;38768
2019;85 years;15443;435;15878;17785;300;18085;33228;735;33963
2019;86 years;14025;366;14391;17571;332;17903;31596;698;32294
2019;87 years;13646;324;13970;18715;306;19021;32361;630;32991
2019;88 years;14035;287;14322;20382;270;20652;34417;557;34974
2019;89 years;13207;229;13436;21000;268;21268;34207;497;34704
2019;90 years;12056;188;12244;20450;235;20685;32506;423;32929
2019;91 years;10078;146;10224;19086;217;19303;29164;363;29527
2019;92 years;8203;112;8315;18087;215;18302;26290;327;26617
2019;93 years;6470;89;6559;16432;187;16619;22902;276;23178
2019;94 years;4857;83;4940;13920;146;14066;18777;229;19006
2019;95 years;3326;55;3381;11516;115;11631;14842;170;15012
2019;96 years;2657;42;2699;9288;99;9387;11945;141;12086
2019;97 years;1997;24;2021;7679;65;7744;9676;89;9765
2019;98 years;1318;22;1340;5740;53;5793;7058;75;7133
2019;99 years;819;12;831;4011;34;4045;4830;46;4876
2019;100 years and over;691;17;708;4249;43;4292;4940;60;5000
2019;age unknown;-;-;-;-;-;-;-;-;-
2019;Total;445339;20546;465885;460310;13325;473635;905649;33871;939520
2020;under 1 year;1084;199;1283;904;186;1090;1988;385;2373
2020;1 year;68;10;78;70;8;78;138;18;156
2020;2 years;29;12;41;36;14;50;65;26;91
2020;3 years;31;9;40;35;6;41;66;15;81
2020;4 years;36;10;46;28;5;33;64;15;79
2020;5 years;.;.;30;.;.;14;38;6;44
2020;6 years;25;6;31;17;4;21;42;10;52
2020;7 years;31;8;39;10;5;15;41;13;54
2020;8 years;25;6;31;25;3;28;50;9;59
2020;9 years;21;3;24;19;3;22;40;6;46
2020;10 years;18;4;22;16;3;19;34;7;41
2020;11 years;.;.;24;.;.;19;40;3;43
2020;12 years;23;7;30;18;3;21;41;10;51
2020;13 years;28;7;35;26;3;29;54;10;64
2020;14 years;.;.;43;.;.;29;67;5;72
2020;15 years;.;.;46;.;.;39;77;8;85
2020;16 years;82;8;90;34;6;40;116;14;130
2020;17 years;94;11;105;40;3;43;134;14;148
2020;18 years;.;.;134;.;.;51;173;12;185
2020;19 years;165;23;188;53;10;63;218;33;251
2020;20 years;161;25;186;56;13;69;217;38;255
2020;21 years;148;39;187;66;9;75;214;48;262
2020;22 years;162;33;195;63;11;74;225;44;269
2020;23 years;184;42;226;69;12;81;253;54;307
2020;24 years;173;51;224;47;14;61;220;65;285
2020;25 years;152;63;215;66;18;84;218;81;299
2020;26 years;179;40;219;75;17;92;254;57;311
2020;27 years;182;39;221;78;19;97;260;58;318
2020;28 years;180;30;210;102;19;121;282;49;331
2020;29 years;234;54;288;102;18;120;336;72;408
2020;30 years;247;65;312;120;16;136;367;81;448
2020;31 years;262;57;319;150;19;169;412;76;488
2020;32 years;275;70;345;140;27;167;415;97;512
2020;33 years;325;62;387;148;37;185;473;99;572
2020;34 years;330;60;390;169;28;197;499;88;587
2020;35 years;362;56;418;219;34;253;581;90;671
2020;36 years;429;65;494;197;31;228;626;96;722
2020;37 years;486;100;586;223;33;256;709;133;842
2020;38 years;478;88;566;227;46;273;705;134;839
2020;39 years;543;97;640;296;51;347;839;148;987
2020;40 years;578;103;681;261;63;324;839;166;1005
2020;41 years;614;112;726;292;82;374;906;194;1100
2020;42 years;592;116;708;319;80;399;911;196;1107
2020;43 years;690;121;811;368;76;444;1058;197;1255
2020;44 years;715;156;871;397;68;465;1112;224;1336
2020;45 years;734;146;880;415;102;517;1149;248;1397
2020;46 years;790;181;971;476;91;567;1266;272;1538
2020;47 years;945;159;1104;514;90;604;1459;249;1708
2020;48 years;1274;201;1475;741;115;856;2015;316;2331
2020;49 years;1523;226;1749;859;122;981;2382;348;2730
2020;50 years;1768;227;1995;948;112;1060;2716;339;3055
2020;51 years;2116;234;2350;1151;108;1259;3267;342;3609
2020;52 years;2413;237;2650;1274;124;1398;3687;361;4048
2020;53 years;2831;257;3088;1511;120;1631;4342;377;4719
2020;54 years;3158;305;3463;1770;144;1914;4928;449;5377
2020;55 years;3684;325;4009;1978;143;2121;5662;468;6130
2020;56 years;4154;334;4488;2103;132;2235;6257;466;6723
2020;57 years;4363;329;4692;2364;115;2479;6727;444;7171
2020;58 years;4880;315;5195;2633;145;2778;7513;460;7973
2020;59 years;5160;352;5512;2854;160;3014;8014;512;8526
2020;60 years;5473;398;5871;3078;161;3239;8551;559;9110
2020;61 years;5965;378;6343;3156;161;3317;9121;539;9660
2020;62 years;6197;399;6596;3296;169;3465;9493;568;10061
2020;63 years;6621;408;7029;3598;180;3778;10219;588;10807
2020;64 years;6924;412;7336;3759;203;3962;10683;615;11298
2020;65 years;7419;392;7811;4049;260;4309;11468;652;12120
2020;66 years;7629;396;8025;4223;266;4489;11852;662;12514
2020;67 years;8070;396;8466;4404;271;4675;12474;667;13141
2020;68 years;8776;437;9213;4885;291;5176;13661;728;14389
2020;69 years;9156;482;9638;5405;317;5722;14561;799;15360
2020;70 years;9267;592;9859;5734;400;6134;15001;992;15993
2020;71 years;9554;609;10163;5873;381;6254;15427;990;16417
2020;72 years;9007;686;9693;5819;378;6197;14826;1064;15890
2020;73 years;9270;702;9972;6126;383;6509;15396;1085;16481
2020;74 years;7592;685;8277;5294;376;5670;12886;1061;13947
2020;75 years;9912;649;10561;6832;370;7202;16744;1019;17763
2020;76 years;12303;705;13008;8887;366;9253;21190;1071;22261
2020;77 years;12658;675;13333;9287;351;9638;21945;1026;22971
2020;78 years;15053;675;15728;11552;430;11982;26605;1105;27710
2020;79 years;17299;744;18043;14083;398;14481;31382;1142;32524
2020;80 years;20010;759;20769;16489;476;16965;36499;1235;37734
2020;81 years;19830;730;20560;17370;438;17808;37200;1168;38368
2020;82 years;19171;682;19853;17946;420;18366;37117;1102;38219
2020;83 years;19323;623;19946;19337;422;19759;38660;1045;39705
2020;84 years;19239;553;19792;20583;394;20977;39822;947;40769
2020;85 years;19556;475;20031;21938;342;22280;41494;817;42311
2020;86 years;16273;444;16717;19799;321;20120;36072;765;36837
2020;87 years;14496;398;14894;18997;350;19347;33493;748;34241
2020;88 years;14139;309;14448;19899;301;20200;34038;610;34648
2020;89 years;14061;280;14341;20970;263;21233;35031;543;35574
2020;90 years;13029;209;13238;21495;306;21801;34524;515;35039
2020;91 years;11450;168;11618;20502;251;20753;31952;419;32371
2020;92 years;9508;114;9622;18761;221;18982;28269;335;28604
2020;93 years;7324;115;7439;16689;163;16852;24013;278;24291
2020;94 years;5697;84;5781;14962;166;15128;20659;250;20909
2020;95 years;4052;65;4117;12426;144;12570;16478;209;16687
2020;96 years;2749;48;2797;9796;117;9913;12545;165;12710
2020;97 years;1956;27;1983;7595;89;7684;9551;116;9667
2020;98 years;1421;18;1439;6035;60;6095;7456;78;7534
2020;99 years;985;10;995;4291;33;4324;5276;43;5319
2020;100 years and over;1032;14;1046;5858;58;5916;6890;72;6962
2020;age unknown;-;-;-;-;-;-;-;-;-
2020;Total;469937;22860;492797;478388;14387;492775;948325;37247;985572
2021;under 1 year;1113;200;1313;857;198;1055;1970;398;2368
2021;1 year;73;16;89;69;9;78;142;25;167
2021;2 years;38;7;45;32;9;41;70;16;86
2021;3 years;38;8;46;33;12;45;71;20;91
2021;4 years;37;6;43;30;9;39;67;15;82
2021;5 years;39;5;44;19;6;25;58;11;69
2021;6 years;20;8;28;17;4;21;37;12;49
2021;7 years;22;6;28;21;6;27;43;12;55
2021;8 years;.;.;21;.;.;18;28;11;39
2021;9 years;21;8;29;18;6;24;39;14;53
2021;10 years;22;3;25;11;4;15;33;7;40
2021;11 years;19;4;23;17;7;24;36;11;47
2021;12 years;.;.;28;.;.;26;46;8;54
2021;13 years;36;5;41;28;3;31;64;8;72
2021;14 years;38;11;49;43;4;47;81;15;96
2021;15 years;56;14;70;41;3;44;97;17;114
2021;16 years;81;7;88;46;7;53;127;14;141
2021;17 years;104;5;109;39;10;49;143;15;158
2021;18 years;141;17;158;50;9;59;191;26;217
2021;19 years;159;30;189;71;4;75;230;34;264
2021;20 years;158;20;178;69;8;77;227;28;255
2021;21 years;158;40;198;72;6;78;230;46;276
2021;22 years;155;38;193;61;5;66;216;43;259
2021;23 years;145;47;192;63;18;81;208;65;273
2021;24 years;167;50;217;67;11;78;234;61;295
2021;25 years;152;49;201;65;12;77;217;61;278
2021;26 years;192;55;247;60;16;76;252;71;323
2021;27 years;181;58;239;72;18;90;253;76;329
2021;28 years;225;46;271;94;17;111;319;63;382
2021;29 years;191;63;254;96;20;116;287;83;370
2021;30 years;260;68;328;107;24;131;367;92;459
2021;31 years;270;67;337;139;22;161;409;89;498
2021;32 years;255;69;324;149;28;177;404;97;501
2021;33 years;284;59;343;173;40;213;457;99;556
2021;34 years;351;79;430;188;38;226;539;117;656
2021;35 years;372;79;451;178;37;215;550;116;666
2021;36 years;394;87;481;220;29;249;614;116;730
2021;37 years;460;108;568;238;48;286;698;156;854
2021;38 years;510;110;620;264;50;314;774;160;934
2021;39 years;525;118;643;263;52;315;788;170;958
2021;40 years;577;112;689;317;49;366;894;161;1055
2021;41 years;597;129;726;341;71;412;938;200;1138
2021;42 years;631;142;773;336;62;398;967;204;1171
2021;43 years;718;176;894;403;69;472;1121;245;1366
2021;44 years;776;164;940;420;85;505;1196;249;1445
2021;45 years;815;171;986;419;93;512;1234;264;1498
2021;46 years;868;216;1084;498;89;587;1366;305;1671
2021;47 years;1011;202;1213;540;107;647;1551;309;1860
2021;48 years;1111;244;1355;653;125;778;1764;369;2133
2021;49 years;1502;295;1797;817;144;961;2319;439;2758
2021;50 years;1794;273;2067;969;122;1091;2763;395;3158
2021;51 years;2070;331;2401;1131;135;1266;3201;466;3667
2021;52 years;2477;305;2782;1292;141;1433;3769;446;4215
2021;53 years;2746;314;3060;1520;172;1692;4266;486;4752
2021;54 years;3159;308;3467;1728;159;1887;4887;467;5354
2021;55 years;3704;385;4089;1933;163;2096;5637;548;6185
2021;56 years;4161;398;4559;2224;177;2401;6385;575;6960
2021;57 years;4641;368;5009;2435;170;2605;7076;538;7614
2021;58 years;5069;422;5491;2692;198;2890;7761;620;8381
2021;59 years;5496;459;5955;2914;195;3109;8410;654;9064
2021;60 years;6016;413;6429;3147;219;3366;9163;632;9795
2021;61 years;6407;476;6883;3309;197;3506;9716;673;10389
2021;62 years;6801;422;7223;3475;223;3698;10276;645;10921
2021;63 years;6967;440;7407;3785;235;4020;10752;675;11427
2021;64 years;7483;502;7985;4031;233;4264;11514;735;12249
2021;65 years;7846;487;8333;4266;283;4549;12112;770;12882
2021;66 years;8391;480;8871;4563;307;4870;12954;787;13741
2021;67 years;8598;491;9089;4898;331;5229;13496;822;14318
2021;68 years;8974;456;9430;5212;351;5563;14186;807;14993
2021;69 years;9648;521;10169;5569;328;5897;15217;849;16066
2021;70 years;10107;580;10687;5969;403;6372;16076;983;17059
2021;71 years;10354;708;11062;6374;515;6889;16728;1223;17951
2021;72 years;10352;731;11083;6618;475;7093;16970;1206;18176
2021;73 years;9938;761;10699;6427;474;6901;16365;1235;17600
2021;74 years;10164;822;10986;6773;486;7259;16937;1308;18245
2021;75 years;8331;717;9048;6002;453;6455;14333;1170;15503
2021;76 years;10558;727;11285;7674;517;8191;18232;1244;19476
2021;77 years;13431;779;14210;10069;488;10557;23500;1267;24767
2021;78 years;13675;792;14467;10558;462;11020;24233;1254;25487
2021;79 years;16158;797;16955;13160;460;13620;29318;1257;30575
2021;80 years;18902;775;19677;16234;488;16722;35136;1263;36399
2021;81 years;21154;817;21971;18762;535;19297;39916;1352;41268
2021;82 years;21065;739;21804;19479;481;19960;40544;1220;41764
2021;83 years;20605;729;21334;20043;493;20536;40648;1222;41870
