Year,Age,Male_Germans,Female_Germans,Total_Germans
2004-01-01,72,10156,6443,16599
2004-01-01,73,11450,7636,19086
2004-01-01,74,12417,8562,20979
2004-01-01,75,13140,9459,22599
2004-01-01,76,12718,10456,23174
2004-01-01,77,12005,11239,23244
2004-01-01,78,11980,12795,24775
2004-01-01,79,11404,14180,25584
2004-01-01,80,10619,15032,25651
2004-01-01,81,11214,16762,27976
2004-01-01,82,11924,19154,31078
2004-01-01,83,12046,20708,32754
2004-01-01,84,11052,20901,31953
2004-01-01,85,6249,12584,18833
2004-01-01,86,5192,10913,16105
2004-01-01,87,5182,11803,16985
2004-01-01,88,5335,13249,18584
2004-01-01,89,6808,18540,25348
2004-01-01,90,6584,19053,25637
2004-01-01,91,5817,17635,23452
2004-01-01,92,4645,15387,20032
2004-01-01,93,3590,12723,16313
2004-01-01,94,2714,10517,13231
2004-01-01,95,2044,8560,10604
2004-01-01,96,1499,6329,7828
2004-01-01,97,979,4752,5731
2004-01-01,98,620,3108,3728
2004-01-01,99,384,2126,2510
2004-01-01,100,484,3355,3839
2005-01-01,0,1376,1020,2396
2005-01-01,1,125,105,230
2005-01-01,2,66,68,134
2005-01-01,3,66,40,106
2005-01-01,4,56,33,89
2005-01-01,5,44,33,77
2005-01-01,65,9347,4578,13925
2005-01-01,66,9322,4860,14182
2005-01-01,67,9423,5025,14448
2005-01-01,68,9820,5301,15121
2005-01-01,69,10334,5957,16291
2005-01-01,70,11033,6370,17403
2005-01-01,71,10066,6096,16162
2005-01-01,72,9643,6118,15761
2005-01-01,73,10450,6905,17355
2005-01-01,74,11737,8137,19874
2005-01-01,75,12812,9210,22022
2005-01-01,76,13358,10332,23690
2005-01-01,77,13350,11052,24402
2005-01-01,78,12415,12251,24666
2005-01-01,79,12262,14019,26281
2005-01-01,80,11568,15463,27031
2005-01-01,81,10852,16383,27235
2005-01-01,82,11410,17985,29395
2005-01-01,83,12120,20745,32865
2005-01-01,84,11950,21796,33746
2005-01-01,85,11005,22131,33136
2005-01-01,86,6031,12994,19025
2005-01-01,87,4863,10993,15856
2005-01-01,88,4797,12007,16804
2005-01-01,89,5066,13319,18385
2005-01-01,90,6194,18158,24352
2005-01-01,91,5941,18150,24091
2005-01-01,92,4849,16443,21292
2005-01-01,93,3862,13435,17297
2005-01-01,94,2775,11086,13861
2005-01-01,95,2285,9106,11391
2005-01-01,96,1539,7079,8618
2005-01-01,97,1084,5165,6249
2005-01-01,98,734,3605,4339
2005-01-01,99,454,2323,2777
2005-01-01,100,558,3612,4170
2006-01-01,0,1293,1016,2309
2006-01-01,1,111,76,187
2006-01-01,2,63,55,118
2006-01-01,3,55,39,94
2006-01-01,4,48,34,82
2006-01-01,5,45,28,73
2006-01-01,65,8335,4240,12575
2006-01-01,66,9557,4889,14446
2006-01-01,67,9703,5068,14771
2006-01-01,68,9825,5242,15067
2006-01-01,69,10037,5583,15620
2006-01-01,70,10628,6217,16845
2006-01-01,71,11487,6789,18276
2006-01-01,72,10278,6492,16770
2006-01-01,73,9880,6577,16457
2006-01-01,74,10991,7516,18507
2006-01-01,75,11997,8782,20779
2006-01-01,76,13081,10069,23150
2006-01-01,77,13398,10974,24372
2006-01-01,78,13368,11947,25315
2006-01-01,79,12350,13187,25537
2006-01-01,80,12168,15191,27359
2006-01-01,81,11537,16297,27834
2006-01-01,82,10945,17238,28183
2006-01-01,83,11186,18941,30127
2006-01-01,84,11861,21097,32958
2006-01-01,85,11234,22535,33769
2006-01-01,86,10219,22264,32483
2006-01-01,87,5452,12716,18168
2006-01-01,88,4524,10845,15369
2006-01-01,89,4334,11335,15669
2006-01-01,90,4392,12315,16707
2006-01-01,91,5455,16537,21992
2006-01-01,92,4882,15970,20852
2006-01-01,93,3937,13997,17934
2006-01-01,94,3075,11398,14473
2006-01-01,95,2150,8982,11132
2006-01-01,96,1634,7148,8782
2006-01-01,97,1093,5306,6399
2006-01-01,98,749,3691,4440
2006-01-01,99,483,2542,3025
2006-01-01,100,579,3937,4516
2007-01-01,0,1392,1039,2431
2007-01-01,1,121,99,220
2007-01-01,2,49,52,101
2007-01-01,3,56,44,100
2007-01-01,4,51,38,89
2007-01-01,5,48,25,73
2007-01-01,65,7585,3864,11449
2007-01-01,66,8875,4509,13384
2007-01-01,67,9958,5227,15185
2007-01-01,68,10087,5564,15651
2007-01-01,69,10133,5839,15972
2007-01-01,70,10564,6062,16626
2007-01-01,71,11060,6660,17720
2007-01-01,72,11860,7441,19301
2007-01-01,73,10530,6853,17383
2007-01-01,74,10307,6897,17204
2007-01-01,75,11456,8116,19572
2007-01-01,76,12431,9354,21785
2007-01-01,77,13288,10690,23978
2007-01-01,78,14040,11876,25916
2007-01-01,79,13505,12785,26290
2007-01-01,80,13040,14193,27233
2007-01-01,81,12720,16041,28761
2007-01-01,82,11645,17340,28985
2007-01-01,83,10829,18162,28991
2007-01-01,84,10853,19459,30312
2007-01-01,85,11207,21871,33078
2007-01-01,86,11137,22689,33826
2007-01-01,87,9911,22421,32332
2007-01-01,88,5306,12795,18101
2007-01-01,89,4003,10666,14669
2007-01-01,90,3888,10753,14641
2007-01-01,91,3885,11420,15305
2007-01-01,92,4596,15005,19601
2007-01-01,93,4054,14228,18282
2007-01-01,94,3326,12164,15490
2007-01-01,95,2484,9475,11959
2007-01-01,96,1605,7387,8992
