Year,Age,Male_Germans,Female_Germans,Total_Germans
2018-01-01,94,4504,14001,18505
2018-01-01,95,3606,12047,15653
2018-01-01,96,2724,10338,13062
2018-01-01,97,1959,7946,9905
2018-01-01,98,1281,5592,6873
2018-01-01,99,.,.,2758
2018-01-01,100,738,4648,5386
2019-01-01,0,1182,937,2119
2019-01-01,1,89,54,143
2019-01-01,2,56,40,96
2019-01-01,3,46,28,74
2019-01-01,4,33,30,63
2019-01-01,5,29,28,57
2019-01-01,65,7011,3985,10996
2019-01-01,66,7526,4264,11790
2019-01-01,67,7927,4575,12502
2019-01-01,68,8368,4641,13009
2019-01-01,69,8664,5225,13889
2019-01-01,70,8746,5349,14095
2019-01-01,71,8445,5292,13737
2019-01-01,72,8470,5505,13975
2019-01-01,73,7091,4853,11944
2019-01-01,74,9136,6374,15510
2019-01-01,75,11267,7996,19263
2019-01-01,76,11602,8216,19818
2019-01-01,77,13871,10222,24093
2019-01-01,78,16093,12245,28338
2019-01-01,79,18011,14576,32587
2019-01-01,80,18053,15465,33518
2019-01-01,81,17903,15972,33875
2019-01-01,82,17784,17126,34910
2019-01-01,83,17966,18510,36476
2019-01-01,84,18247,19732,37979
2019-01-01,85,15443,17785,33228
2019-01-01,86,14025,17571,31596
2019-01-01,87,13646,18715,32361
2019-01-01,88,14035,20382,34417
2019-01-01,89,13207,21000,34207
2019-01-01,90,12056,20450,32506
2019-01-01,91,10078,19086,29164
2019-01-01,92,8203,18087,26290
2019-01-01,93,6470,16432,22902
2019-01-01,94,4857,13920,18777
2019-01-01,95,3326,11516,14842
2019-01-01,96,2657,9288,11945
2019-01-01,97,1997,7679,9676
2019-01-01,98,1318,5740,7058
2019-01-01,99,819,4011,4830
2019-01-01,100,691,4249,4940
2020-01-01,0,1084,904,1988
2020-01-01,1,68,70,138
2020-01-01,2,29,36,65
2020-01-01,3,31,35,66
2020-01-01,4,36,28,64
2020-01-01,5,.,.,38
2020-01-01,65,7419,4049,11468
2020-01-01,66,7629,4223,11852
2020-01-01,67,8070,4404,12474
2020-01-01,68,8776,4885,13661
2020-01-01,69,9156,5405,14561
2020-01-01,70,9267,5734,15001
2020-01-01,71,9554,5873,15427
2020-01-01,72,9007,5819,14826
2020-01-01,73,9270,6126,15396
2020-01-01,74,7592,5294,12886
2020-01-01,75,9912,6832,16744
2020-01-01,76,12303,8887,21190
2020-01-01,77,12658,9287,21945
2020-01-01,78,15053,11552,26605
2020-01-01,79,17299,14083,31382
2020-01-01,80,20010,16489,36499
2020-01-01,81,19830,17370,37200
2020-01-01,82,19171,17946,37117
2020-01-01,83,19323,19337,38660
2020-01-01,84,19239,20583,39822
2020-01-01,85,19556,21938,41494
2020-01-01,86,16273,19799,36072
2020-01-01,87,14496,18997,33493
2020-01-01,88,14139,19899,34038
2020-01-01,89,14061,20970,35031
2020-01-01,90,13029,21495,34524
2020-01-01,91,11450,20502,31952
2020-01-01,92,9508,18761,28269
2020-01-01,93,7324,16689,24013
2020-01-01,94,5697,14962,20659
2020-01-01,95,4052,12426,16478
2020-01-01,96,2749,9796,12545
2020-01-01,97,1956,7595,9551
2020-01-01,98,1421,6035,7456
2020-01-01,99,985,4291,5276
2020-01-01,100,1032,5858,6890
2021-01-01,0,1113,857,1970
2021-01-01,1,73,69,142
2021-01-01,2,38,32,70
2021-01-01,3,38,33,71
2021-01-01,4,37,30,67
2021-01-01,5,39,19,58
2021-01-01,65,7846,4266,12112
2021-01-01,66,8391,4563,12954
2021-01-01,67,8598,4898,13496
2021-01-01,68,8974,5212,14186
2021-01-01,69,9648,5569,15217
2021-01-01,70,10107,5969,16076
2021-01-01,71,10354,6374,16728
2021-01-01,72,10352,6618,16970
2021-01-01,73,9938,6427,16365
2021-01-01,74,10164,6773,16937
2021-01-01,75,8331,6002,14333
2021-01-01,76,10558,7674,18232
2021-01-01,77,13431,10069,23500
2021-01-01,78,13675,10558,24233
2021-01-01,79,16158,13160,29318
2021-01-01,80,18902,16234,35136
2021-01-01,81,21154,18762,39916
2021-01-01,82,21065,19479,40544
2021-01-01,83,20605,20043,40648
2021-01-01,84,20299,21193,41492
2021-01-01,85,19967,22476,42443
2021-01-01,86,19556,23336,42892
2021-01-01,87,16332,20997,37329
2021-01-01,88,14013,19283,33296
2021-01-01,89,13583,20376,33959
2021-01-01,90,12910,21182,34092
2021-01-01,91,11460,20588,32048
2021-01-01,92,10279,19031,29310
2021-01-01,93,8073,16796,24869
2021-01-01,94,6078,14612,20690
2021-01-01,95,4476,12459,16935
2021-01-01,96,3155,10281,13436
2021-01-01,97,2102,7636,9738
2021-01-01,98,1466,5779,7245
2021-01-01,99,993,4348,5341
2021-01-01,100,1251,6707,7958
